MAG,Completeness,Contamination,GTDB Taxonomy,NCBI Taxonomy
MAG41,74.33,10.00,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Roseovarius; s__Roseovarius pacificus,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__Roseovarius pacificus
MAG42,100.00,1.13,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Oceanibaculales; f__Oceanibaculaceae; g__Oceanibaculum; s__Oceanibaculum nanhaiense,
MAG43,98.92,1.97,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA12170; g__UBA12170; s__,
MAG44,98.92,0.00,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thiomicrospiraceae; g__Hydrogenovibrio; s__Hydrogenovibrio sp000711305,
MAG45,99.66,0.28,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Alteromonadaceae; g__Idiomarina; s__Idiomarina maritima,"d__Bacteria, p__Pseudomonadota; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina"
MAG46,98.06,1.94,d__Bacteria; p__Desulfuromonadota; c__Desulfuromonadia; o__Desulfuromonadales; f__Pelobacteraceae_A; g__Pelobacter_A; s__,d__Bacteria; p__Thermodesulfobacteriota; c__Desulfuromonadia; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Pelobacter
MAG47,100.00,2.27,d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__; f__; g__; s__,
MAG48,98.82,2.69,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__Draconibacterium; s__,
MAG49,78.21,2.90,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Immundisolibacterales; f__Immundisolibacteraceae; g__Immundisolibacter; s__,
MAG50,99.51,0.16,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Maricaulaceae; g__Maricaulis; s__Maricaulis sp002707795,
MAG51,98.04,0.27,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__HLUCCO07; s__,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Rhodobacteraceae bacterium HLUCCO07
MAG52,96.95,2.44,d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Sulfurimonadaceae; g__SZUA-415; s__,d__Bacteria; p__Campylobacterota; c__Epsilonproteobacteria; o__Campylobacterales; f__Sulfurimonadaceae; g__Sulfuricurvum
MAG53,81.98,2.24,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Immundisolibacterales; f__Immundisolibacteraceae; g__Immundisolibacter; s__,
MAG54,95.51,3.71,d__Bacteria; p__Muirbacteria; c__Muirbacteriia; o__Muirbacteriales; f__Muirbacteriaceae; g__Muirbacterium; s__,
MAG55,64.50,0.85,d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__UBA2163; g__OLB19; s__,
MAG56,98.89,0.86,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__IMCC2047; g__IMCC2047; s__,
MAG57,96.52,2.27,d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Sphaerochaetales; f__Sphaerochaetaceae; g__Sphaerochaeta; s__,
MAG58,97.85,1.08,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__BM520; g__BM520; s__,
MAG59,100.00,0.18,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Methylophagaceae; g__Methylophaga; s__,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__
MAG60,97.37,0.74,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Roseovarius; s__Roseovarius sp003260265,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__Roseovarius amoyensis
MAG61,98.38,0.00,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Maricaulaceae; g__Oceanicaulis; s__,
MAG62,90.76,0.00,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__UBA1280; f__; g__; s__,
MAG63,97.85,0.41,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Nitrincolaceae; g__Marinobacterium; s__Marinobacterium georgiense,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Marinobacterium; s__
MAG64,93.35,0.83,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Alteromonadaceae; g__Alteromonas_A; s__Alteromonas_A sp002335925,
MAG65,100.00,0.97,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Methylophagaceae; g__Methylophaga; s__Methylophaga aminisulfidivorans,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__Methylophaga aminisulfidivorans
